addressID,address1,city,state,zip
443139,429 Patterson Street,Nashville,TN,37211
624248,38 Milford Street,Medway,MA,02053
522472,2315 Kezey Court,Crofton,MD,21114
632900,35 Pilgrim Lane,Manchester,CT,06040
404086,2868 Peak Road,Wheelock,VT,05851
347934,9428 North 65th Drive,Glendale,AZ,85302
690539,833 Williamson Road,Montgomery,AL,36109
408138,5136 Gaines Street,Oklahoma City,OK,73135
454372,13 Riverview Avenue,Groton,CT,06340
413752,27 Cabbage Crossing,Savannah,GA,31411
649156,6276 Devinney Circle,Arvada,CO,80004
900518,6100 Bullard Drive,Oakland,CA,94611
122065,154 Boca Lagoon Drive,Panama City Beach,FL,32408
223702,9346 West 66th Place,Arvada,CO,80004
509089,6286 West Louise Drive,Glendale,AZ,85310
410788,6373 West Golden Lane,Glendale,AZ,85302
638607,320 South Link Lane,Fort Collins,CO,80524
524649,125 John Street,Santa Cruz,CA,95060
480973,344 Island Road,Savannah,GA,31406
863445,501 Holly Avenue,Pooler,GA,31322
113945,2835 Southwest 78th Street,Oklahoma City,OK,73159
181042,13852 West 66th Place,Arvada,CO,80004
462007,8295 Moss Circle,Arvada,CO,80007
392443,707 Leaning Oaks Drive,Savannah,GA,31410
958001,6713 Holt Road,Nashville,TN,37211
255580,16820 Coronado Street,Anchorage,AK,99577
663842,5632 West Acoma Drive,Glendale,AZ,85306
495109,2721 Lindsay Avenue,Louisville,KY,40206
742397,122 Coral Drive,Panama City Beach,FL,32413
537517,2315 Chestnut Street,Montgomery,AL,36107
690688,15 Lakewood Drive,Thunderbolt,GA,31410
189253,5545 Saddlewood Lane,Brentwood,TN,37027
217662,2617 Truffula Circle,Norman,OK,73069
787813,5619 Clay Place Northeast,Washington,DC,20019
103526,163 Highwood Drive,Manchester,CT,06040
453509,514 Flower Lane,Alameda,CA,94502
205742,100 Fenwick Village Drive,Savannah,GA,31419
649190,17 Stratfield Avenue,Westfield,MA,01085
353923,1208 Elkader Court North,Nashville,TN,37013
619598,1 Kempf Drive,Easton,MA,02375
203213,5840 Eagle Circle,Montgomery,AL,36116
852698,7102 North 43rd Avenue,Glendale,AZ,85301
405819,509 Franklin Street Northeast,Washington,DC,20017
685380,10 Erick Road,Mansfield,MA,02048
559331,4408 Northwest 55th Street,Oklahoma City,OK,73112
813469,6404 West 82nd Drive,Arvada,CO,80003
404783,1505 Rosewood Avenue,Louisville,KY,40204
807421,135 Pond Road,Shelburne,VT,05482
504920,45 Baldridge Road,Annapolis,MD,21401
850659,23 North Hill Street,Nashville,TN,37210
463162,2075 Archer Drive,Fayetteville,AR,72701
292716,104 Lakeridge Drive,Panama City,FL,32405
802731,66 Ocala Drive,Nashville,TN,37013
596944,228 Common Street,Braintree,MA,02184
762746,202 Pepperbush Road,Louisville,KY,40207
113787,9740 Rhythm Road,Midwest City,OK,73130
449351,513 Habberton Road,Fayetteville,AR,72703
637347,202 Deer Run Trail,Manchester,CT,06042
845302,8700 Lillington Circle,Montgomery,AL,36117
152617,8496 Isles Court,Pasadena,MD,21122
330459,327 Idlewylde Drive,Louisville,KY,40206
176687,25800 Industrial Boulevard,Hayward,CA,94545
446984,18318 Pioneer Drive,Anchorage,AK,99577
568832,3354 Wilmington Road,Montgomery,AL,36105
647742,19448 Currant Drive,Edmond,OK,73012
748539,333 Saint Charles Avenue,Fayetteville,AR,72701
949622,7905 Old Heady Road,Louisville,KY,40299
644114,829 Dunbarton Road,Montgomery,AL,36117
207681,110 Allen Place,Farmington,AR,72730
157980,10400 Royal Oak Road,Oakland,CA,94605
733789,2917 Danzig Place,Louisville,KY,40245
271089,56 Gardner Street,Manchester,CT,06040
251634,3111 Gentilly Court,Montgomery,AL,36116
604495,14285 Wycliff Way,Magalia,CA,95954
128485,775 47th Street,Oakland,CA,94609
654106,3 Furman Place,Swanton,VT,05488
594575,3620 Bentfield Drive,Nashville,TN,37013
621532,1800 East 63rd Street,Savannah,GA,31404
386181,2324 North Briarwood Lane,Fayetteville,AR,72703
552070,1318 4th Street Southwest,Washington,DC,20024
952573,46 Sugarloaf Hill Road,Warren,VT,05674
865105,215 9th Street Northeast,Washington,DC,20002
400934,120 North Hurstbourne Parkway,Louisville,KY,40222
904842,1904 Baker Court,Panama City,FL,32401
387775,618 McLaws Street,Savannah,GA,31405
360886,8529 Old Harding Lane,Nashville,TN,37221
257098,287 Lawndale Drive,Nashville,TN,37211
806713,6021 Yarrow Street,Arvada,CO,80004
228893,664 Irving Street Northwest,Washington,DC,20010
941746,4316 Dover Road,Louisville,KY,40216
556254,1566 Wingate Park Court,Montgomery,AL,36117
649893,2306 Edinburgh Drive,Montgomery,AL,36116
713951,16 Ambassador Drive,Manchester,CT,06042
738976,7998 Chase Circle,Arvada,CO,80003
758536,840 Fontaine Road,Derby,VT,05829
287812,4316 Sunnybrook Drive,Montgomery,AL,36108
437738,6505 South Lagoon Drive,Panama City Beach,FL,32408
757513,3546 Rosa L Parks Avenue,Montgomery,AL,36105
816309,2572 Drake Street,Montgomery,AL,36108
810344,1145 Chaseway Drive,Pike Road,AL,36064
865404,2747 68th Avenue,Oakland,CA,94605
913809,6534 Benton Circle,Arvada,CO,80003
835902,512 North Center Avenue,Panama City,FL,32401
694395,412 Virginia Avenue,Louisville,KY,40222
335410,2511 Hearst Avenue,Berkeley,CA,94709
168922,171 Brickhill Circle,Pooler,GA,31322
754693,848 Vermont 14,Woodbury,VT,05650
466474,8820 Vaughn Road,Montgomery,AL,36117
312192,1233 Paradise Lane,Fayetteville,AR,72701
182409,9436 Briarlea Court,Montgomery,AL,36117
715295,122 Summer Street,Medford,MA,02155
810460,19 Keyes Drive,Peabody,MA,01960
101610,16205 Wind Crest Way,Edmond,OK,73013
743569,20370 California 116,Monte Rio,CA,95462
708148,2464 Windham Hill Road,Townshend,VT,05359
238879,412 Lakefront Drive,Panama City Beach,FL,32413
139855,18330 North 79th Avenue,Glendale,AZ,85308
722212,32 Prospect Street,Manchester,CT,06040
187390,5 Little Deer Road,Groton,VT,05046
760886,3951 Kimberly Street,Montgomery,AL,36116
464604,720 South River Landing Road,Edgewater,MD,21037
963030,560 Penstock Drive,Grass Valley,CA,95945
914901,1734 Tamarack Street Northwest,Washington,DC,20012
945439,2815 Blueridge Place,Anchorage,AK,99504
671201,3483 Canyon Creek Drive,San Jose,CA,95132
286731,1745 T Street Southeast,Washington,DC,20020
199729,2316 Northwest 113th Street,Oklahoma City,OK,73120
279566,184 Oak Street,Foxborough,MA,02035
788695,5938 Laguna Honda Street,Redding,CA,96001
868157,12 Saint Andrews Crossover,Severna Park,MD,21146
805276,37608 2nd Street,Fremont,CA,94536
280259,207 Spruce Street,Manchester,CT,06040
860497,328 17th Street,Paso Robles,CA,93446
229697,7100 Old Seward Highway,Anchorage,AK,99518
718671,28 Wilfred Road,Manchester,CT,06040
461293,12022 Town Park Circle,Anchorage,AK,99577
793710,10914 Oak Harbor Drive,Louisville,KY,40299
289961,6514 West Golden Lane,Glendale,AZ,85302
881085,1983 Reidsville Street,Annapolis,MD,21401
717048,87 Horseshoe Drive,West Windsor,VT,05037
151050,8934 Arrowrock Trail,Smartsville,CA,95977
186340,5606 Olde Wadsworth Boulevard,Arvada,CO,80002
661577,1987 Boxer Court,San Lorenzo,CA,94580
975028,98 Lincoln Street,Revere,MA,02151
301279,353 O Street Southwest,Washington,DC,20024
499230,7809 Highway 2302,Panama City,FL,32409
442426,3180 Parthenon Avenue,Nashville,TN,37203
106889,3827 West Chapman Avenue,Orange,CA,92868
876027,7310 East Chester Heights Circle,Anchorage,AK,99504
821386,14 Linden Street,Manchester,CT,06040
763843,599 Cambridge Street,Cambridge,MA,02141
559061,3601 South Portland Avenue,Oklahoma City,OK,73119
962809,9036 Calico Court,Hesperia,CA,92344
585880,60 Montgomery Street,Springfield,MA,01151
926232,5813 Hammermill Loop,Montgomery,AL,36116
728134,1403 Robinson Road,Nashville,TN,37138
495980,3420 Horseshoe Circle,Montgomery,AL,36116
573342,7950 West 51st Avenue,Arvada,CO,80002
397210,6515 West Poinsettia Drive,Glendale,AZ,85304
412268,1309 Southwest 71st Terrace,Oklahoma City,OK,73159
485020,201 Juniper Springs Drive,Mammoth Lakes,CA,93546
285436,328 Missouri Avenue Northwest,Washington,DC,20011
906341,507 Castlebrook Drive,Montgomery,AL,36110
639174,3146 North Old Wire Road,Fayetteville,AR,72703
893225,10001 Pheasant Lane,Oklahoma City,OK,73162
347707,13426 West Rovey Avenue,Litchfield Park,AZ,85340
622621,11401 Totem Road,Anchorage,AK,99516
845983,7002 Secrest Court,Arvada,CO,80007
878819,1516 Ringe Drive,Severn,MD,21144
831398,6418 Iris Way,Arvada,CO,80004
440625,1014 South 2nd Street,Louisville,KY,40203
319345,80 Homestead Street,Manchester,CT,06042
707335,4296 North Blossom Court,Fayetteville,AR,72703
979221,9472 Noble Way,Arvada,CO,80007
251094,912 Locklayer Street,Nashville,TN,37208
416439,74 Westerly Street,Manchester,CT,06042
170217,3145 19th Avenue Court,Greeley,CO,80631
896834,7681 Delridge Circle,Anchorage,AK,99507
947169,833 South Brownell Road,Williston,VT,05495
478997,1514 Wyoming Avenue,Lynn Haven,FL,32444
466379,5603 Dune Creek Trail,Panama City,FL,32404
593171,33 Linscott Road,Hingham,MA,02043
904217,130 West Brown Road,Mesa,AZ,85201
309004,1122 McDaniel Street,Sun City Center,FL,33573
987785,6912 Sunrise Drive,Panama City,FL,32407
839541,111 20th Street,Mexico Beach,FL,32456
715515,2212 Daffin Drive,Savannah,GA,31404
686303,228 East Huntingdon Street,Savannah,GA,31401
927958,5150 West Eugie Avenue,Glendale,AZ,85304
424216,143 Canton Court,Goodlettsville,TN,37072
577137,1243 Doris Avenue,Pasadena,MD,21122
722559,6657 West Rose Garden Lane,Glendale,AZ,85308
598518,84 Orange Street,Barre,VT,05641
289964,4714 Narrow Lane Road,Montgomery,AL,36116
189792,201 North Locust Avenue,Fayetteville,AR,72701
966504,2812 Jasper Street Southeast,Washington,DC,20020
938297,2318 Camryns Crossing,Panama City,FL,32405
