patientID,ssn,dob
802908,528518800,2002-06-05
554324,861417239,1950-10-08
580625,757746430,1969-04-10
844035,651672516,1953-01-25
238157,258804542,1959-05-30
711386,559973938,1955-09-06
307115,717003507,1953-06-18
598069,598659577,1961-06-29
467992,525501726,1957-08-24
652542,910113251,1957-07-31
381931,217179731,2019-07-04
640328,899983474,1972-10-10
158712,987564479,2013-04-17
649376,399645904,1983-08-14
966563,868593701,2014-02-27
978380,920627636,1937-03-10
520742,146924561,1931-11-01
865012,640608493,1952-07-02
658273,856082219,2022-09-09
393632,833477675,1982-05-18
606986,232652043,1961-09-08
752213,818701646,1966-05-14
721555,245320293,1953-09-08
126707,474738769,1991-05-10
130998,385683350,2019-08-09
362485,787626352,2021-11-21
525266,622790995,2018-04-05
516043,180715221,2010-11-02
503479,220985931,1961-11-22
455984,826520219,1956-02-07
732575,331296500,1963-09-22
467234,877606354,1963-11-23
585108,888655707,2022-08-03
704238,724606538,1978-09-02
417853,619984526,2018-09-04
787540,586290749,1970-10-22
792702,816504670,2009-07-01
160545,941909669,2019-08-26
942416,881098769,1958-10-15
360205,750728985,2001-11-16
532181,796142693,1965-01-24
773634,146269420,2022-09-20
913511,949585212,1976-10-17
469405,412954651,1970-06-29
507892,993917493,1999-03-30
645756,892679958,2016-09-25
278124,215739515,1967-01-02
913389,564874121,1979-01-03
891644,867020098,1944-04-12
323084,394823852,1964-10-21
384678,204045399,1973-03-23
909843,248397001,1998-08-07
178945,864178684,2008-03-16
600059,152411807,1953-02-14
848683,758026140,1967-12-25
469724,261993798,1982-04-28
612824,492557698,1971-01-15
601127,545271248,1983-02-14
178197,694438472,2013-01-14
194667,249287559,1964-05-02
422594,616826403,1937-10-03
157784,423208234,2015-05-09
676301,159364565,1983-03-20
780898,631721038,2002-05-03
270851,716669332,1968-01-29
617198,669643161,1986-10-23
863901,589193019,2013-01-15
786086,755935445,1942-06-09
191702,420519737,1976-10-08
854528,862616026,1962-04-05
525451,479183284,1964-07-13
485504,994576248,1974-05-07
701625,646627418,2021-07-21
254632,873612912,1946-08-09
687165,784875302,1943-11-03
958814,426627586,1965-12-09
707831,965949506,1979-02-12
798829,591314951,2004-01-14
469436,408811050,1965-06-21
899629,679007735,1953-01-21
185747,225354040,2010-09-14
918763,954930964,1960-09-10
488887,686659615,2017-09-07
359333,623283904,1960-12-06
501077,398624944,1958-03-12
740957,251857233,2021-04-23
279803,405345376,2016-11-21
637728,404358080,1953-07-26
395775,268046157,2012-09-16
185786,197276831,1976-11-14
762438,894736766,1978-10-06
203857,522749093,1956-01-28
216232,451673516,1960-09-25
385549,414044122,2014-11-14
437581,795315778,1976-05-23
561589,203565649,1983-05-30
245256,660582796,2017-10-13
582128,327853584,1966-06-18
759269,945129250,1950-06-07
330728,316271342,1964-05-18
580404,897324872,2015-11-01
193497,156305915,1957-08-12
563407,443188054,2020-11-09
737364,106698050,1973-10-03
237029,868735271,1956-07-03
619820,483815412,1979-02-24
462746,592224760,1969-12-05
740105,655393630,1969-06-22
166031,353281349,1982-07-24
811644,223632147,1958-01-14
225249,760688179,2007-07-13
597240,502168865,1942-10-17
435923,772643283,1973-01-22
961572,361576673,1975-11-09
355769,981093480,1959-04-01
943924,546365875,1982-09-17
709361,207740360,1962-02-19
882429,864275137,1960-08-02
829993,751181683,1980-12-18
918949,523388517,1966-09-08
294645,869797449,1969-12-03
595678,930302946,1971-10-18
727059,286545083,2021-05-21
891976,699550049,1976-01-12
813446,218661464,1966-06-27
861053,506386465,1983-09-03
946424,597750804,1955-03-10
319997,653009141,1928-06-10
423494,729402631,1972-12-04
222690,422658665,1954-06-08
475836,193696193,1969-04-14
568263,943671421,1958-09-29
300294,538194209,1963-12-02
559931,898018547,2019-04-08
271113,818091635,1968-12-24
593200,393934865,1956-06-15
425793,928626545,2019-03-17
621852,839037119,1939-07-22
137566,874260464,1978-01-12
169107,185989476,1963-12-09
520796,389785042,1972-08-18
860776,876125973,1978-05-12
584080,746551640,2022-02-09
701698,951147660,1989-09-05
835786,413193024,1956-10-10
683335,677371810,1971-05-09
690275,344309709,1963-04-02
882064,750368139,1962-10-11
303413,563742738,1995-06-22
256842,271947625,1967-02-27
409771,965506312,2016-09-17
436896,884345785,1963-05-02
303924,267418602,1933-02-12
805902,497698763,2015-03-25
941104,113897083,2022-03-03
550160,890566800,2021-12-30
925124,265995011,2019-05-19
874382,274502463,1957-06-25
525039,592562760,1972-03-28
918674,647397501,1964-10-24
312217,974018882,1966-12-09
148175,749582422,1976-02-24
902952,337944353,1981-05-09
116989,461289224,1954-07-05
390561,968742136,2016-01-08
946641,920254673,1967-01-18
418221,295980351,1933-01-25
579682,971749925,2006-08-27
575142,763913112,1963-05-25
337295,781618731,1943-01-05
594986,662355672,1969-08-15
261158,419025030,1953-02-12
497437,712943526,1971-06-27
656800,678204292,2012-09-18
660377,463502395,2018-12-18
418801,907615582,1957-05-18
778946,466332446,1958-03-26
547349,545910982,2008-11-20
501002,635721805,1967-05-29
673776,198468302,2018-11-22
767550,118867549,1938-10-27
519620,447771528,1952-04-21
490571,148941052,1962-08-01
825823,680632429,2004-10-26
678540,246408521,1957-07-12
159048,162943434,1962-09-22
955463,579746515,1990-03-19
120420,514621233,1960-03-06
321804,148190301,1966-02-20
587020,341824774,1956-02-07
336225,461311535,1959-05-27
529724,778640634,1956-07-30
997163,228946797,1985-09-23
837322,273942151,1960-04-28
522117,699715561,1960-08-28
972516,215492060,1955-03-24
461557,335523944,1962-09-15
367577,830979886,1960-01-02
854007,995269030,1976-11-27
987169,535186667,2016-09-29
862994,900025720,1978-10-25
130392,939845981,1964-11-14
483573,490244151,1963-08-03
951234,760165939,1969-10-29
233895,904623007,1978-03-08
187435,350438751,1980-10-09
294454,223565394,1965-07-28
920075,549828584,1954-08-11
615597,697101862,1967-03-18
404575,648213114,1976-03-14
158326,161599176,1983-10-26
598375,386496093,1978-05-29
584951,230318801,1955-06-27
430116,603376431,1942-06-09
190261,123671043,2021-12-12
558383,280888732,2013-03-01
109940,213353527,1962-01-20
474304,192653530,2010-02-27
649225,646662244,1970-03-13
887395,365606620,1960-06-28
117504,463950924,1968-07-05
283710,424455618,1982-08-04
972432,908949557,1991-05-25
276834,737783939,1958-11-15
418578,565673152,1948-08-06
460158,970523695,1978-07-03
193845,999678788,1961-07-15
778395,164435777,1967-02-14
845465,275407431,2018-05-03
126581,711075273,1961-12-01
960685,955363679,1951-01-16
549104,719139733,1954-04-03
754976,235164657,2015-11-22
963732,352693325,1958-04-23
958528,405315147,2003-08-19
767899,534263496,1967-09-26
168677,586941826,1979-01-15
980662,214493052,1966-09-01
985210,723437937,2017-09-15
914514,680282210,2017-07-01
774432,382297488,1961-10-24
337377,156411808,1960-12-01
212816,306507843,2015-11-11
334528,666413235,1933-07-05
297653,932269151,1956-04-18
290035,149230193,1944-04-16
671013,670868601,2017-06-08
904023,855466790,2017-08-25
111904,674518027,1936-11-02
189474,149988577,2002-06-22
833468,140830351,1949-07-24
541342,227456303,1990-02-04
822161,375648248,2006-07-15
620081,550524102,1957-05-21
531739,242192501,1970-11-24
194204,677183130,1958-05-04
681461,166313798,2021-06-14
893766,985854664,1948-05-10
588527,146389443,2011-08-24
395258,445679281,1958-04-24
687746,877905438,2014-08-12
352424,627296691,2014-06-29
877545,818117205,1971-07-06
926421,881674819,1987-09-09
383837,459386013,1960-07-01
670767,343370160,1973-04-01
862008,259675376,1960-03-02
960147,664189842,1955-03-06
701090,905347935,1961-04-19
504331,667844871,2020-10-31
463954,801054721,2007-05-21
887059,885724100,1955-07-07
243090,144953216,1955-08-09
787619,122322370,1959-01-04
367767,876167079,1969-05-03
510897,257379355,1974-04-18
779141,634676104,2011-10-13
538427,672667505,1973-12-09
129482,410167187,1968-09-16
474846,694172672,2018-06-23
220926,233482484,2018-10-03
954358,516164033,1939-02-02
363655,805318545,1988-03-13
217451,328581842,1980-12-07
222278,353913533,1983-09-01
798141,913301588,1966-11-09
588277,406677649,1941-10-23
261665,567043131,1966-10-13
579246,563655254,1968-11-08
722640,850339412,1953-05-15
851584,930821352,1970-04-16
634288,765915153,1953-07-15
999069,200661951,2018-09-07
647874,366730196,1973-12-16
901667,421004699,1985-07-17
551124,568580830,1965-01-21
208250,949850084,1962-03-20
582668,862460185,1982-06-02
948179,887914033,1943-05-28
468080,687231026,2020-02-17
504971,216328182,1971-12-08
746918,891964278,2003-03-25
794139,615397659,1972-09-06
706361,539392728,1955-02-27
385235,354765409,1986-05-31
290387,206096364,2012-08-01
309770,154940774,1968-01-07
717683,474952928,2021-12-21
974613,523080649,1960-01-01
868755,672485029,2016-05-11
520633,656056370,1958-04-05
604897,167171153,1978-04-14
926055,760964086,2017-02-08
612754,897430740,1965-11-25
948510,177936115,1986-01-10
305423,265760780,1987-11-02
546334,702620682,2022-05-23
442298,835272024,2011-08-20
489164,703199049,1953-03-20
438461,236915920,2018-01-03
743501,283504908,1936-05-23
383302,175708442,1963-07-10
122944,147602799,1963-12-29
240513,769627641,1968-09-02
655077,470828061,1957-06-17
551555,877864809,1994-03-29
519045,992707935,1955-12-08
525116,214306514,1952-05-27
737277,667652832,1953-02-15
597830,392211586,1961-03-30
230446,176232998,1963-05-10
873958,848019332,1937-05-16
438381,749924069,1972-06-30
700013,625556272,1948-05-28
539600,547591319,1952-11-24
783315,574234320,1963-04-01
926757,937953510,1957-06-07
339115,439701267,1977-08-17
139495,510055914,1968-02-07
952104,427610256,2018-02-07
581945,130287957,1954-09-10
251710,524987405,2009-06-05
647558,191211526,1967-10-27
307484,850007915,1962-01-28
664962,235463211,1965-01-11
967562,990778901,1961-07-09
296590,167127953,1974-01-15
418591,997983489,1963-04-10
335996,189041576,1964-12-07
360364,148953189,1964-12-12
651565,775942015,1970-11-14
525318,418305932,1971-05-06
801152,648798639,1962-03-28
382502,577088862,1973-08-12
589565,701920243,2013-01-25
468078,718821861,1972-04-03
275784,602322443,1975-03-19
201436,444744660,1975-07-30
248443,842521764,1987-03-22
823695,662425963,1963-03-28
933530,227590763,1964-12-09
466248,113053999,2019-04-03
944212,434051690,1959-10-03
868051,331464618,1929-08-25
308390,180091203,1986-03-16
172961,236462130,2021-09-01
189268,756259489,1980-05-01
450252,769048940,2013-02-21
831202,430551397,2013-05-06
948316,936654444,1962-03-29
632088,135630549,2006-01-19
791197,623949755,2005-01-06
709117,936395446,1959-09-12
274595,647429138,1936-02-01
576604,567220860,1977-05-10
543126,937297477,2022-09-18
133570,866218236,1962-09-17
858999,701100007,1982-09-06
291173,575985891,2010-05-09
120106,223595275,2009-04-17
152563,267164706,1983-01-20
505205,558865850,1962-10-31
476572,262405811,1970-06-16
470553,307389314,2009-07-15
148613,226632081,1973-01-23
987158,534787600,2017-01-05
909891,739225225,2018-11-22
401413,163304608,1966-12-30
784063,302165545,1963-02-04
328822,231743691,1960-12-01
999825,239199072,1964-04-19
213174,818196979,1925-01-20
923696,960255665,1958-09-16
401478,522386575,2015-05-28
457115,463643617,1952-04-04
951473,353784052,1965-07-03
134406,127117157,1956-03-28
132463,320120531,1962-09-01
196926,349358835,1955-08-16
364248,240895466,2018-06-16
856574,808319361,1940-09-19
402390,660613240,1942-06-29
183723,889103463,1978-05-17
689839,341432185,1976-08-11
897145,245394078,1965-03-17
764158,103159859,2021-05-25
872093,189664962,1955-04-15
525427,674948649,1934-02-20
197633,130564631,1974-05-22
994628,354026627,1936-09-14
914343,774117802,1974-12-22
869976,807554118,1954-03-13
620566,704869701,1954-10-31
826997,665483140,2011-12-23
828482,716855251,1983-01-02
423594,469027874,1993-03-16
534192,835153157,1957-11-14
769874,607419749,1967-11-25
871493,473475604,1985-08-01
824365,121259760,1970-12-04
127700,987965931,2019-04-09
799510,953776434,1967-06-19
237523,975740962,1963-07-20
383286,523214844,1947-11-23
589457,594499310,1944-09-08
268116,951155589,2009-03-24
107231,805230747,1965-02-11
172066,900335889,2021-07-05
234588,795357499,2018-03-02
696681,602123656,2018-12-07
687585,942530659,1963-06-21
307993,791835708,1944-03-13
477539,613652947,2011-10-28
194507,508639306,1963-06-16
903998,664232962,1976-05-23
668275,687448024,2020-08-10
690773,623296022,1960-11-06
585890,974704805,1973-11-21
334254,520769513,2013-08-12
299420,458847083,1963-06-20
385164,166718704,1954-08-31
250487,113674929,1954-08-18
636941,888365967,2015-10-27
289675,371032956,1962-02-14
952046,663749399,2013-09-16
693223,537446949,2013-01-30
205367,374781579,2016-04-24
981868,323512809,1955-11-09
742087,810877499,2009-03-18
790766,311796168,1949-05-28
680456,394316643,1953-08-13
435366,554175635,1979-11-16
309416,530973802,1941-03-16
335925,780711552,2021-09-02
461913,159826646,1975-07-27
522291,376751107,1956-03-31
890922,347343314,1969-10-04
396455,238465377,1960-01-27
908924,465771136,2013-11-10
232006,334347737,2016-03-20
424110,743355297,1963-03-22
233719,790711466,1983-04-05
278565,275806061,1976-06-05
912655,526069700,1955-03-20
554600,654690076,2014-09-14
106317,482358659,1963-12-01
636911,581816897,1969-11-02
779904,102668992,1944-05-05
338849,937412559,1960-08-22
373494,554021282,1962-02-08
171682,424447377,1974-01-12
728602,552536124,2017-10-05
517165,915761521,1946-06-16
228878,831867960,1956-12-18
543626,693309290,1970-06-24
690465,445262095,1988-03-28
310268,163323570,2014-04-10
864515,761735925,1972-03-24
719939,854142350,1953-02-01
478776,662741109,1958-02-11
283507,313324569,1959-06-13
213161,785771675,1956-08-14
400779,165907144,2020-03-13
708434,660792833,2018-09-03
461201,362073415,1954-04-27
331166,374691418,1953-08-09
217467,496583208,1963-05-24
695220,237938795,1957-12-20
308721,719658878,1960-04-13
506343,889162757,1952-02-06
869773,718542186,2001-04-27
884006,277857879,1958-08-13
766829,745928724,1954-10-10
618466,963744251,2021-05-23
698486,189077941,1957-06-25
809573,460604912,2016-10-05
143179,930864063,2018-04-23
387158,975909258,1979-04-24
163110,281668559,2015-03-10
180433,401961694,2015-02-26
751515,240508618,1960-09-04
222590,552436843,1988-06-29
996816,264594871,2019-11-21
979993,669695788,2020-12-13
797818,432481222,1932-11-24
137709,223685278,1971-02-27
104329,225911039,2008-09-02
292360,382877275,1956-03-31
136589,348198448,1974-09-28
672197,793363847,2004-01-01
963283,296883795,1990-03-18
834354,133472879,2022-03-15
431725,962498870,1968-02-03
298677,127779481,1981-04-18
378890,183654185,1954-11-10
879007,513723014,1986-08-13
460612,259364583,1955-04-27
820402,627143754,2008-09-08
195296,114444980,1962-01-14
541175,698021626,1974-07-05
256854,298647816,2015-07-14
509667,574502644,2011-01-15
354757,150957526,1942-03-27
333689,962351367,1953-10-05
497881,937589128,1960-11-10
489317,744983336,1948-09-21
477663,652618239,1950-11-22
606916,777836090,1964-01-25
576625,895443881,1967-11-25
911983,447230672,1976-02-02
717219,724318717,1960-09-15
333386,539074901,1992-11-09
957323,306233382,1948-10-03
826782,623340197,1983-09-16
430124,530845400,1966-07-01
244401,979700983,1957-09-19
754256,620364136,1944-04-21
284480,212632600,2019-04-02
567260,394205658,1936-02-11
152044,387573762,1954-04-24
718600,895142948,1983-01-12
353900,827440348,1960-10-02
524960,363738818,1955-05-02
510692,621178152,1945-10-21
613515,904433288,1956-11-23
704143,673477149,1973-06-20
553322,509245832,1955-03-14
956210,712208769,1963-01-27
534903,605532440,1962-07-05
996314,364415247,1981-10-28
986350,999555263,2014-05-21
900416,612042822,1953-06-25
400957,167227160,1951-06-23
317739,698989721,1978-05-11
976087,988119729,1959-08-14
941169,198938129,2020-01-06
485215,506447851,2017-10-17
985123,987144820,1978-04-20
761592,216390476,1947-12-18
166426,674264787,1979-06-05
262655,218916773,1977-10-08
385842,286241696,2020-12-01
184640,339246206,1959-12-23
749179,940177927,1953-04-25
793269,307557793,2018-01-15
273084,928884638,1971-04-18
460864,912260786,1961-07-22
233154,326206435,1980-04-01
107381,300040007,1965-06-06
687654,447975269,2011-12-10
313301,576927622,1976-06-27
354685,626088543,1979-06-09
417762,417488520,1969-02-01
990221,547224573,1955-08-01
403272,738294107,1956-08-23
737189,253616127,2005-10-13
232130,833875674,1965-09-06
711072,473294145,1968-01-14
158653,152505792,1981-08-07
318164,635216424,2007-09-05
389008,504014600,1947-11-02
786627,902589808,1956-09-06
795596,784411178,2012-10-18
153318,833823379,1956-10-28
656737,451579457,1969-03-08
177183,179297750,1965-06-01
116368,157511420,1935-09-12
987960,362561337,1971-09-14
190578,725264380,1956-11-18
658164,753906945,1968-04-22
554623,944741012,1957-04-28
752825,776025571,2012-02-28
941048,282115800,1967-08-13
403760,406132927,1964-12-12
147348,240221156,1972-07-14
415579,651832852,2016-09-25
833323,798999326,2007-10-09
424422,519093868,2021-03-27
938279,171977042,2017-03-14
321252,276542801,1956-06-28
360841,322048601,2013-10-22
882082,929065954,1968-02-07
690358,706089838,2014-09-29
111201,242894332,2022-03-29
113934,886514317,1951-10-26
909032,853937062,2016-03-12
148912,100163825,1981-11-23
747398,975108020,1961-07-01
651010,876419685,2014-02-16
315936,789921709,2008-08-09
785637,772666886,1966-08-09
622206,240243221,1963-07-16
839475,465378872,1974-05-18
542849,765263209,1962-12-16
425885,726187215,1955-11-09
703275,427477633,1966-10-11
771177,338293400,1966-05-06
125979,623043225,1952-01-23
731998,596282126,1933-12-12
689010,925226037,1962-06-11
816662,459311440,1964-12-16
618239,427935207,1973-03-28
255984,322027632,2021-12-14
613663,450522597,2003-11-15
412660,926056270,2004-03-12
771240,896755341,1960-10-11
607804,972793941,1981-01-21
845608,165024758,1991-09-28
196223,875757460,1975-02-06
759277,944302753,1985-08-15
755893,406726781,1972-05-15
860171,276365956,1958-02-24
985681,258959353,1981-07-17
163282,584451875,1934-03-31
974024,384059461,1942-11-17
671805,846228767,1975-02-17
653447,454641630,2020-08-31
106320,139938234,2017-10-02
930608,763451990,1947-05-29
841555,698690036,2015-11-01
197227,865987407,1955-04-08
395695,818399797,2015-04-04
447082,393861608,1958-08-30
317858,567247701,1936-11-23
349893,494549384,1976-07-01
288950,374860769,1953-08-10
590085,874319901,1929-08-23
887460,264420041,1991-02-09
385857,819181544,1949-06-24
197215,911733892,1956-05-21
733837,266734663,1958-03-19
440201,855357123,2021-09-30
681692,570599720,1962-07-10
554645,922353645,2008-12-02
402493,956505296,1971-01-24
267088,894101224,1962-12-11
661495,650192682,1956-08-09
210732,661511800,2007-08-10
166607,705780986,2022-04-19
694180,517341046,1977-08-08
899632,917076639,1969-03-21
522327,342327881,2019-02-19
470210,966524022,1958-08-26
252450,651563145,1964-11-06
331794,256496696,1989-05-07
534626,693851165,1955-12-03
616228,276555472,1961-04-30
674417,390301379,1960-04-27
773202,155571505,1966-12-26
605148,134336379,1954-09-03
889972,425401116,2009-03-28
223754,992532484,2001-10-02
443797,638367815,1957-11-05
695684,152949255,1988-08-23
276058,343855920,1955-08-02
146009,172454289,1980-08-10
655906,469596798,1969-03-08
615145,954509974,1962-01-14
676593,910635662,1967-02-07
484408,832068361,1970-05-30
252846,112652968,2021-01-03
907096,140488026,1955-12-10
848484,316824952,1945-01-25
840780,137919883,1962-01-24
375303,828113565,1972-09-08
944590,220214748,1963-12-05
843863,291527152,1961-06-11
863411,410617405,2019-08-24
646766,136147082,1953-05-11
967545,640270854,1975-03-15
516596,328109537,1968-05-19
284265,921312156,2010-08-05
685854,283123403,1973-03-15
183286,742823896,1989-02-04
626512,176215116,1956-09-16
297299,271612592,1947-07-11
791932,102896824,2007-07-24
414084,880697284,1989-08-23
352308,450961900,1961-01-25
476189,342403540,2016-09-23
640593,980557353,1954-10-31
966639,378187944,1969-05-01
947586,668189411,1954-09-06
285642,409445088,1954-10-05
182755,744086297,2013-08-16
546471,399267077,1965-11-01
232878,526306090,2018-08-13
139952,606145177,1970-11-11
731953,540860826,2020-01-15
309450,501342101,1955-01-25
499735,201162622,2021-11-21
262875,724863575,1970-06-03
364213,903608790,2019-03-20
140357,340958499,1958-07-12
941161,293670759,1961-12-28
547863,708615003,1954-11-03
539294,371517719,1965-09-25
568057,741882203,1934-08-21
260610,223745894,2019-03-10
565962,666488225,1957-02-15
980399,238034196,1987-01-01
531403,985151499,1958-07-11
472839,760575270,1959-07-20
533060,132200777,2016-04-07
914269,842460579,1967-07-27
907793,394128084,1971-07-13
849085,223703118,1957-08-24
377894,956607630,1976-06-26
520829,973921616,1942-04-07
296121,261495086,1953-03-28
106919,514606033,1956-04-11
729435,275243528,1961-05-31
119810,712695352,2015-06-10
968326,686284314,1954-10-05
371547,962832631,1956-06-12
886554,604212445,2014-06-24
395207,358327556,1990-11-23
439655,786714154,1955-09-22
673207,761293596,1991-01-19
181914,989524231,1968-10-16
979150,264325916,1986-05-03
511030,392420654,1938-09-02
587217,167445620,1973-06-30
985339,920697657,1941-11-26
455281,527774806,1955-10-20
920978,591607811,1964-03-06
881692,612693543,2018-03-25
111669,866894224,1986-07-05
124830,529165546,1986-11-16
630152,347330123,1946-12-29
194579,162298279,1968-11-20
699300,560073983,1954-10-17
808454,929985590,1936-04-21
660883,764926959,1959-10-16
272922,680721566,1977-08-28
274599,743670512,1973-01-18
176449,893887745,1967-01-08
744778,877297882,2007-04-12
631086,678351506,1978-10-17
106949,282287360,1954-04-21
690116,520246506,1975-02-22
219073,732166675,2020-09-19
197120,339416271,1966-09-23
171660,216569012,1960-03-01
961182,597184587,1941-04-29
201183,294950502,2022-01-18
697568,766221267,1965-12-14
733243,373437857,1949-02-24
815642,908944933,1986-10-02
477621,151829085,1940-06-25
180974,308318006,2016-08-29
989357,949089154,1970-01-13
688977,932630987,1958-08-02
821256,266767180,1974-07-22
564492,728860397,1958-12-24
376755,374449670,1952-03-31
895807,887372109,1975-08-03
433058,647965509,1950-09-08
302472,698652291,2011-08-30
928468,395516970,1945-03-16
766050,399519172,1973-03-02
987725,534400134,1931-09-20
215349,421464542,2000-09-20
967776,729669041,2012-01-08
767804,558693549,2004-01-18
323261,913398084,2010-01-31
858259,109106342,2021-09-29
450658,629681056,1962-11-03
630351,751821153,2011-12-28
709714,802191676,2007-04-06
959930,202326049,1970-03-02
936128,326095909,1958-06-21
699256,697044275,1962-05-15
281722,317893469,1980-05-10
949396,912230262,1957-09-02
614574,889772747,1968-04-18
819897,200461987,1941-05-30
818237,826421569,1965-09-19
644488,518648422,1963-08-05
790297,995610377,2005-03-25
286513,728301649,1953-08-12
984425,670460436,1958-08-22
857896,845117808,2005-07-20
787505,930255626,1977-12-19
231948,204086487,1963-03-03
835831,859425919,1957-03-17
909775,236256825,2012-05-02
700936,663659770,1977-01-28
686157,883400176,1951-04-16
459598,779711946,1961-10-25
625422,483842719,1975-11-05
398713,377124271,2012-12-19
822357,180810148,1999-12-18
881843,683883434,1970-02-15
366212,184279333,1957-02-02
950885,553227473,1942-01-17
866334,828774441,2013-01-13
363611,731041151,1953-10-31
723125,849550019,1965-02-23
594697,201019716,1954-03-25
391236,326025464,1985-08-27
790287,980505943,1958-12-04
662074,162973438,1953-12-14
326674,534384101,2015-09-16
924217,728570264,2007-03-16
195166,557905863,2000-08-23
758192,822322965,1952-11-20
683809,897452305,2006-07-10
364616,476752057,1927-10-07
114127,705062104,2021-11-01
856403,451728227,1974-07-06
202407,284698004,1973-09-17
672183,709615216,1953-10-09
503763,921167510,1974-06-07
200927,373217122,1960-02-18
533428,970213401,1961-03-02
547308,631592081,1975-08-30
110990,332941938,1949-04-06
323245,572685863,1970-09-27
387112,368021334,1981-10-15
812584,700596741,1987-05-14
599202,812549968,1956-11-30
750412,618150371,1933-04-02
627793,219776717,2016-09-17
511477,326023903,1974-01-27
